,Username,Konten,Lokasi
135,MengaliRNaturaL,"Terima kasih ya Pak @mohmahfudmd @prabowo @sandiuno @airlangga_hrt, pdhl kalian2 ini jika koar2.. Demi Rakyat... Buat Rakyat... Dan Apalah.. Apalah... Tapi lihat kan... Jika nurani klean ga tergelitik, FIX.. Sampean semua harus mandi Junnub",JakSel
136,baglog_resmglkt,"Dijenguk Kapolri, begini kesan Sinta bocah penderita tumor tentang Jenderal Listyo Sigit Prabowo https://t.co/reZmBhX2QE",
137,doeldian,@mjackswap @jokowi @prabowo @LunaMaya26,
138,23_prabowo,@caramellattxe dipa?,Jakarta Capital Region
139,WakapolresP,"Ungkapan Rasa Bahagia Adek Sinta Aulia Terhadap Kapolri Jenderal Polisi Listyo Sigit Prabowo Pada Senin (21/02)

#PendekarBanten
Polda Banten
@silitongashinto
@divisihumaspolri https://t.co/WgobI2sDCl",
140,multajp,Begini Kesan Sinta Bocah Penderita Tumor Tentang Jenderal Listyo Sigit Prabowo https://t.co/zn7loNWZ7D https://t.co/LR4htO3erJ,"Tangerang, Banten"
141,azra_prabowo,Berusaha berbakti kepada orang tua https://t.co/fftAQUIoZM,"Brebes, Jawa Tengah"
142,JandiniResti,"Mantap nih, kelebihan Menhan Prabowo menjalankan alutsista dilakukan secara hati², komprehensif dan dilaksanakan dgn presisi

MisiKerja PrabowoSubianto
Modernisasi AlutsistaUsang
Bangun IndonesiaTangguh

@kemhan_ri
@prabowo",
143,KincaidZerga,@asiasuuu @E_Edw_R @erstevn @Pimperoo Itu mah yg punya kasus try Sutrisno sama Prabowo.,
144,CumaAkunKecil,"Ini namanya blunder..

Prabowo aja yg jelas2 punya partai sendiri
Jauh lebih tajir
Jendral
Punya bekingan jauh lebih kuat
Punya networking jauh lebih luas

Ketika jualan agama pun
Kalah juga..

#AntiCapresYaman",
145,Macanjkw,"Pejabat bermasalah yang meminta perlindungan Prabowo (ARB, Anis Mata, Surya Dharma Ali, Luthfi Hasan) https://t.co/KH9u6FnvAx",
146,teropongmetro,"Kinerja Menhan Prabowo Membanggakan, Kekuatan Militer Indonesia Meroket Lampaui Jerman https://t.co/lSaymi0RXr lewat @Teropongmetro",Surabaya
147,EPWX10,"Pndukung Prabowo  spt  ARB, SDA adl org2 BEJAD tabiatnya kasar termasuk org  ini &gt;&gt;  novrinawawi smoga dilaknat oleh ALLAH",Jakarta
148,bagus__prabowo,Kaya harta belum tentu kaya hati .,Tgr-Banten
149,garudatvnews,Menteri Pertahanan RI Prabowo Subianto Gugat 2 Perusahaan Asing Terkait Proyek Satelit Pertahanan https://t.co/E5fwAv7tUg,Indonesia
150,SusiloJoo,"Top banget, Kelebihan Menhan Prabowo, menjalankan pembelian senjata dijalankan secara terukur, komprehensif dan dilaksanakan dengan pas.
Misi Kerja Prabowo Subianto
Modernisasi Alutsista Usang
Bangun Indonesia Tangguh

@kemhan_ri
@prabowo",
151,Handoko90001984,"Mantab nih, Pak Prabowo mendorong negara kita jadi hebat.
Misi Kerja Prabowo Subianto
Modernisasi Alutsista Usang
Bangun Indonesia Tangguh

@kemhan_ri
@prabowo",
152,daffa_farido,"@Kbnkalteng1 @prabowo @Kemhan_RI Yes keren, Menhan Prabowo mendorong negara kita jadi hebat.

@prabowo @Kemhan_RI
Misi Kerja Prabowo Subianto
Modernisasi Alutsista Usang
Bangun Indonesia Tangguh",
153,daffa_farido,"@Kbnkalbar1 @prabowo @Kemhan_RI Mantab nih Kerja Menhan Prabowo, memang pantas dihargai.

@prabowo @Kemhan_RI
Misi Kerja Prabowo Subianto
Modernisasi Alutsista Usang
Bangun Indonesia Tangguh",
